,dataset,model,max_accuracy,mean_accuracy,std_accuracy,test_accs,max_layer
0,AESDD,HUBERT_ASR_LARGE,82.6086938381195,"[46.1835748  49.8550725  54.58937228 58.93719673 61.54589415 61.83574796
 66.66666865 68.59903336 68.69565129 69.27536249 69.95169044 69.95169163
 74.49275374 72.36714959 62.8019309  61.06280088 63.86473417 67.14975834
 68.69565129 65.21739125 65.99033833 60.289855   57.39130437 50.53139985
 43.6714977 ]","[ 3.38302231  0.83114211  6.72175074  3.38853684  2.60332106  2.97797836
  3.60219391  1.95637236  4.6577665   2.5489684   2.61762634  6.29429816
  5.17066294  7.69557753  6.88638859  9.18941626  6.7383947  10.59282669
  4.01169779  6.98731902  4.00238052  7.70164072  5.19767123  5.83402065
  2.6389376 ]","[[47.826087474823, 49.275362491607666, 63.76811861991882, 63.28502297401428, 61.35265827178955, 64.73429799079895, 73.42995405197144, 71.01449370384216, 74.39613342285156, 73.42995405197144, 74.39613342285156, 77.77777910232544, 81.64251446723938, 75.36231875419617, 54.10627722740173, 57.971012592315674, 57.971012592315674, 78.2608687877655, 72.9468584060669, 55.07246255874634, 72.46376872062683, 72.46376872062683, 58.93719792366028, 39.13043439388275, 42.51207709312439], [47.342994809150696, 51.2077271938324, 43.478259444236755, 55.07246255874634, 66.18357300758362, 60.86956262588501, 62.80193328857422, 68.59903335571289, 71.49758338928223, 71.01449370384216, 70.04830837249756, 71.49758338928223, 70.04830837249756, 58.93719792366028, 58.93719792366028, 77.2946834564209, 76.81159377098083, 73.42995405197144, 71.49758338928223, 68.11594367027283, 60.86956262588501, 56.03864789009094, 60.86956262588501, 55.07246255874634, 45.89371979236603], [46.859902143478394, 50.24154782295227, 55.55555820465088, 61.835747957229614, 58.454108238220215, 62.80193328857422, 65.21739363670349, 66.66666865348816, 61.835747957229614, 66.66666865348816, 66.18357300758362, 58.454108238220215, 71.98067903518677, 73.42995405197144, 74.39613342285156, 51.2077271938324, 63.76811861991882, 59.42028760910034, 70.53139805793762, 64.25120830535889, 67.14975833892822, 49.275362491607666, 55.55555820465088, 53.62318754196167, 44.44444477558136], [39.613527059555054, 49.75845515727997, 57.971012592315674, 55.07246255874634, 61.835747957229614, 56.521737575531006, 66.66666865348816, 70.53139805793762, 71.01449370384216, 67.63284802436829, 69.5652186870575, 71.01449370384216, 79.71014380455017, 82.6086938381195, 60.86956262588501, 54.589372873306274, 59.90338325500488, 74.39613342285156, 61.835747957229614, 62.31883764266968, 66.66666865348816, 60.386472940444946, 48.3091801404953, 53.62318754196167, 46.37681245803833], [49.275362491607666, 48.792269825935364, 52.173912525177, 59.42028760910034, 59.90338325500488, 64.25120830535889, 65.21739363670349, 66.18357300758362, 64.73429799079895, 67.63284802436829, 69.5652186870575, 71.01449370384216, 69.08212304115295, 71.49758338928223, 65.70048332214355, 64.25120830535889, 60.86956262588501, 50.24154782295227, 66.66666865348816, 76.32850408554077, 62.80193328857422, 63.28502297401428, 63.28502297401428, 51.2077271938324, 39.13043439388275]]",13
1,AESDD,HUBERT_BASE,72.9468584060669,"[45.02415478 48.69565248 53.62318873 58.5507226  62.70531297 62.12560415
 65.02415419 69.08212543 64.15458918 59.7101438  62.22222209 58.64734173
 59.22705293]","[0.8311428  4.24901118 3.14566641 2.95279411 3.44861102 4.59927676
 1.24483957 3.27648702 4.9962062  6.05389312 2.63539698 3.83564042
 3.49165567]","[[45.410627126693726, 50.24154782295227, 57.48792290687561, 59.42028760910034, 62.31883764266968, 69.08212304115295, 66.18357300758362, 65.70048332214355, 62.80193328857422, 70.53139805793762, 61.35265827178955, 62.31883764266968, 61.35265827178955], [44.92753744125366, 49.75845515727997, 52.173912525177, 57.971012592315674, 57.00483322143555, 65.21739363670349, 65.70048332214355, 68.11594367027283, 62.80193328857422, 60.86956262588501, 57.48792290687561, 59.90338325500488, 59.42028760910034], [46.37681245803833, 55.07246255874634, 49.275362491607666, 63.28502297401428, 64.25120830535889, 58.93719792366028, 63.28502297401428, 72.9468584060669, 67.14975833892822, 58.454108238220215, 64.25120830535889, 62.80193328857422, 62.80193328857422], [43.96135210990906, 45.89371979236603, 52.173912525177, 57.971012592315674, 62.31883764266968, 56.03864789009094, 66.18357300758362, 72.9468584060669, 71.49758338928223, 52.657002210617065, 63.28502297401428, 54.10627722740173, 59.90338325500488], [44.44444477558136, 42.51207709312439, 57.00483322143555, 54.10627722740173, 67.63284802436829, 61.35265827178955, 63.76811861991882, 65.70048332214355, 56.521737575531006, 56.03864789009094, 64.73429799079895, 54.10627722740173, 52.657002210617065]]",7
2,AESDD,HUBERT_LARGE,80.19323945045471,"[44.63768125 55.07246375 60.09661794 61.06280088 59.03381586 60.
 67.14975715 62.31884003 70.7246387  66.08695626 70.1449275  65.89372039
 72.6570034  73.04347873 73.62318873 64.2512095  68.21256042 67.72946835
 68.69565248 64.73430037 62.99516916 65.314008   61.93236828 69.66183662
 61.73913002]","[2.7430085  2.26590088 1.97063558 1.89825014 4.95869592 2.88887276
 3.21900098 6.53157456 2.82680985 4.80573165 4.28183988 6.3694871
 4.34889956 3.73452048 5.17246921 4.7529955  7.07626468 4.68773283
 4.71750998 4.88854605 6.02297444 3.38026116 5.99812479 5.10708291
 4.97748461]","[[43.96135210990906, 53.62318754196167, 56.521737575531006, 58.93719792366028, 62.31883764266968, 55.07246255874634, 61.835747957229614, 66.66666865348816, 69.5652186870575, 58.93719792366028, 63.28502297401428, 73.9130437374115, 75.84540843963623, 69.5652186870575, 76.32850408554077, 59.90338325500488, 59.42028760910034, 69.5652186870575, 64.25120830535889, 65.21739363670349, 64.73429799079895, 70.53139805793762, 57.00483322143555, 71.98067903518677, 69.08212304115295], [46.37681245803833, 51.69082283973694, 61.35265827178955, 60.86956262588501, 62.31883764266968, 58.454108238220215, 69.08212304115295, 62.31883764266968, 68.59903335571289, 71.01449370384216, 68.11594367027283, 59.90338325500488, 71.49758338928223, 76.81159377098083, 76.32850408554077, 71.98067903518677, 71.98067903518677, 61.35265827178955, 65.70048332214355, 61.835747957229614, 69.5652186870575, 66.18357300758362, 68.11594367027283, 71.98067903518677, 62.31883764266968], [39.613527059555054, 57.00483322143555, 59.90338325500488, 61.835747957229614, 61.35265827178955, 62.31883764266968, 66.18357300758362, 56.521737575531006, 69.5652186870575, 70.04830837249756, 74.39613342285156, 72.9468584060669, 74.39613342285156, 78.2608687877655, 80.19323945045471, 58.93719792366028, 66.66666865348816, 63.28502297401428, 75.36231875419617, 71.98067903518677, 63.28502297401428, 60.386472940444946, 63.28502297401428, 68.59903335571289, 55.55555820465088], [45.89371979236603, 57.971012592315674, 62.31883764266968, 64.25120830535889, 49.275362491607666, 61.35265827178955, 67.14975833892822, 54.10627722740173, 69.5652186870575, 61.835747957229614, 70.04830837249756, 58.93719792366028, 64.73429799079895, 71.01449370384216, 66.18357300758362, 66.66666865348816, 63.28502297401428, 70.53139805793762, 73.42995405197144, 57.48792290687561, 65.70048332214355, 66.18357300758362, 53.140097856521606, 60.386472940444946, 64.73429799079895], [47.342994809150696, 55.07246255874634, 60.386472940444946, 59.42028760910034, 59.90338325500488, 62.80193328857422, 71.49758338928223, 71.98067903518677, 76.32850408554077, 68.59903335571289, 74.8792290687561, 63.76811861991882, 76.81159377098083, 69.5652186870575, 69.08212304115295, 63.76811861991882, 79.71014380455017, 73.9130437374115, 64.73429799079895, 67.14975833892822, 51.69082283973694, 63.28502297401428, 68.11594367027283, 75.36231875419617, 57.00483322143555]]",14
3,AESDD,WAV2VEC2_ASR_LARGE_960H,79.22705411911011,"[41.35265708 54.49275374 58.06763291 63.18840504 64.25120831 62.41545916
 62.12560177 64.73430037 72.27053046 68.69565248 75.55555582 72.94686079
 69.66183662 69.66183424 67.82608747 69.08212543 66.7632854  66.37681246
 64.05797124 57.00483084 57.97101498 49.8550719  42.8019321  35.36231875
 33.91304314]","[2.45570358 4.46330753 3.55524163 3.64598361 2.97797836 5.66186895
 5.17246727 7.0139877  4.5070172  5.88024153 2.74300877 2.51949784
 3.38026174 3.33857954 3.15455674 1.46528946 2.0128162  5.41924693
 4.35961861 4.1331886  3.0091629  3.95309565 4.4339298  2.14745028
 1.11843827]","[[38.64734172821045, 57.971012592315674, 61.35265827178955, 63.28502297401428, 67.14975833892822, 70.04830837249756, 69.08212304115295, 74.8792290687561, 79.22705411911011, 79.22705411911011, 79.22705411911011, 75.36231875419617, 72.46376872062683, 71.49758338928223, 68.11594367027283, 66.66666865348816, 63.76811861991882, 57.00483322143555, 67.63284802436829, 58.454108238220215, 59.90338325500488, 55.07246255874634, 48.792269825935364, 37.68115937709808, 34.78260934352875], [40.57970941066742, 46.37681245803833, 58.454108238220215, 56.521737575531006, 65.21739363670349, 53.62318754196167, 60.386472940444946, 63.76811861991882, 71.49758338928223, 65.70048332214355, 78.2608687877655, 73.42995405197144, 69.08212304115295, 64.25120830535889, 63.28502297401428, 71.01449370384216, 65.21739363670349, 70.04830837249756, 62.80193328857422, 61.835747957229614, 61.35265827178955, 44.44444477558136, 37.19806671142578, 35.74879169464111, 35.26569902896881], [41.545894742012024, 55.55555820465088, 59.90338325500488, 63.28502297401428, 58.93719792366028, 61.835747957229614, 60.86956262588501, 68.59903335571289, 67.63284802436829, 66.66666865348816, 74.8792290687561, 74.39613342285156, 69.5652186870575, 69.08212304115295, 65.70048332214355, 70.04830837249756, 69.08212304115295, 71.98067903518677, 67.14975833892822, 60.386472940444946, 54.10627722740173, 48.792269825935364, 38.164252042770386, 36.71497702598572, 32.367148995399475], [40.096619725227356, 53.62318754196167, 51.2077271938324, 65.70048332214355, 63.28502297401428, 59.90338325500488, 54.10627722740173, 53.62318754196167, 67.63284802436829, 70.04830837249756, 72.46376872062683, 68.11594367027283, 63.76811861991882, 69.08212304115295, 72.46376872062683, 68.59903335571289, 68.59903335571289, 69.08212304115295, 66.66666865348816, 53.140097856521606, 59.90338325500488, 53.62318754196167, 44.44444477558136, 35.26569902896881, 34.299516677856445], [45.89371979236603, 58.93719792366028, 59.42028760910034, 67.14975833892822, 66.66666865348816, 66.66666865348816, 66.18357300758362, 62.80193328857422, 75.36231875419617, 61.835747957229614, 72.9468584060669, 73.42995405197144, 73.42995405197144, 74.39613342285156, 69.5652186870575, 69.08212304115295, 67.14975833892822, 63.76811861991882, 56.03864789009094, 51.2077271938324, 54.589372873306274, 47.342994809150696, 45.410627126693726, 31.40096664428711, 32.85024166107178]]",8
4,AESDD,WAV2VEC2_BASE,69.5652186870575,"[41.73913062 54.10627961 58.64734292 57.68115997 61.64251208 64.73430037
 58.45410585 57.58454084 60.96618295 55.36231935 61.93236589 50.62801957
 51.40096664]","[ 4.12866812  1.10161973  5.31488783  4.25120706  3.66131353  2.64600337
  5.4740931   7.4239129   2.05867387 10.54690146  2.16907793  2.82350521
  2.08570339]","[[37.68115937709808, 55.55555820465088, 55.07246255874634, 61.35265827178955, 64.25120830535889, 65.21739363670349, 61.35265827178955, 43.96135210990906, 57.48792290687561, 34.78260934352875, 59.42028760910034, 50.724637508392334, 53.140097856521606], [41.545894742012024, 55.07246255874634, 66.18357300758362, 57.48792290687561, 62.31883764266968, 63.28502297401428, 56.521737575531006, 56.521737575531006, 62.80193328857422, 57.00483322143555, 62.31883764266968, 48.3091801404953, 53.140097856521606], [46.859902143478394, 52.657002210617065, 61.35265827178955, 51.69082283973694, 66.66666865348816, 61.835747957229614, 65.70048332214355, 65.21739363670349, 63.28502297401428, 64.25120830535889, 64.25120830535889, 49.275362491607666, 47.826087474823], [36.71497702598572, 54.10627722740173, 50.724637508392334, 54.589372873306274, 57.48792290687561, 69.5652186870575, 59.42028760910034, 62.80193328857422, 60.386472940444946, 59.90338325500488, 59.42028760910034, 56.03864789009094, 52.657002210617065], [45.89371979236603, 53.140097856521606, 59.90338325500488, 63.28502297401428, 57.48792290687561, 63.76811861991882, 49.275362491607666, 59.42028760910034, 60.86956262588501, 60.86956262588501, 64.25120830535889, 48.792269825935364, 50.24154782295227]]",5
5,AESDD,WAV2VEC2_LARGE,79.71014380455017,"[39.32367146 56.81159496 59.03381646 65.50724745 62.02898502 59.710145
 61.83575034 62.70531416 64.73429918 64.44444537 65.603863   67.9227066
 71.30434752 69.8550725  68.30917835 71.30434871 69.95168924 58.45410705
 58.26086879 60.57971001 63.28502417 60.28985381 58.55072498 42.8019321
 41.25603795]","[1.45249247 3.07968526 5.79226856 1.94680488 2.94012104 4.68972447
 3.72951911 4.32522165 2.30673037 3.7619167  6.90263689 6.73285053
 6.64211782 5.36732133 4.21814091 5.85797281 4.56668741 5.90084308
 8.36516306 7.93565658 5.63376935 5.41752377 2.50835906 3.28502352
 3.04922398]","[[38.164252042770386, 55.55555820465088, 65.21739363670349, 67.63284802436829, 64.25120830535889, 64.25120830535889, 63.76811861991882, 64.73429799079895, 62.80193328857422, 67.14975833892822, 68.59903335571289, 69.5652186870575, 67.14975833892822, 71.49758338928223, 72.9468584060669, 74.8792290687561, 71.01449370384216, 53.140097856521606, 47.826087474823, 51.69082283973694, 69.08212304115295, 62.31883764266968, 60.386472940444946, 45.410627126693726, 45.89371979236603], [39.613527059555054, 60.386472940444946, 59.42028760910034, 64.25120830535889, 61.835747957229614, 62.80193328857422, 62.80193328857422, 68.59903335571289, 65.70048332214355, 66.66666865348816, 74.39613342285156, 76.32850408554077, 76.81159377098083, 75.84540843963623, 73.9130437374115, 79.71014380455017, 74.39613342285156, 50.724637508392334, 54.589372873306274, 73.42995405197144, 71.01449370384216, 56.521737575531006, 53.62318754196167, 45.410627126693726, 43.478259444236755], [40.57970941066742, 59.42028760910034, 62.80193328857422, 68.11594367027283, 62.80193328857422, 55.55555820465088, 62.80193328857422, 58.454108238220215, 66.18357300758362, 57.00483322143555, 54.10627722740173, 57.00483322143555, 79.22705411911011, 73.42995405197144, 64.25120830535889, 64.25120830535889, 67.63284802436829, 61.35265827178955, 67.14975833892822, 62.80193328857422, 58.454108238220215, 66.18357300758362, 59.90338325500488, 45.410627126693726, 37.68115937709808], [41.06280207633972, 57.00483322143555, 48.3091801404953, 63.76811861991882, 56.521737575531006, 52.657002210617065, 54.589372873306274, 57.00483322143555, 61.35265827178955, 65.70048332214355, 62.31883764266968, 64.25120830535889, 60.86956262588501, 60.386472940444946, 64.73429799079895, 72.46376872062683, 62.31883764266968, 67.14975833892822, 69.08212304115295, 62.31883764266968, 57.48792290687561, 64.73429799079895, 58.93719792366028, 37.68115937709808, 40.57970941066742], [37.19806671142578, 51.69082283973694, 59.42028760910034, 63.76811861991882, 64.73429799079895, 63.28502297401428, 65.21739363670349, 64.73429799079895, 67.63284802436829, 65.70048332214355, 68.59903335571289, 72.46376872062683, 72.46376872062683, 68.11594367027283, 65.70048332214355, 65.21739363670349, 74.39613342285156, 59.90338325500488, 52.657002210617065, 52.657002210617065, 60.386472940444946, 51.69082283973694, 59.90338325500488, 40.096619725227356, 38.64734172821045]]",15
6,AESDD,WAV2VEC2_LARGE_XLSR,85.02415418624878,"[45.70048332 50.24154544 59.61352706 58.84058118 62.60869622 69.08212662
 70.82125545 71.40096545 68.69565368 72.36715078 68.69565129 71.78743958
 68.98550749 73.62318993 75.74879289 73.04347634 77.97101378 70.33816576
 70.04830956 66.28019333 64.54106331 61.54589534 32.17391342 25.50724655
 30.82125604]","[3.49165441 5.96378799 1.41999388 4.0809106  4.19595013 2.84983184
 2.15179385 3.82100969 7.13538221 2.37453333 8.14922976 4.79795504
 2.77346868 2.3980047  7.13538082 3.13675029 2.41739011 7.28556273
 6.4016489  9.82186331 5.44502665 6.47847508 4.9037984  5.66186905
 3.3940423 ]","[[39.613527059555054, 38.64734172821045, 59.90338325500488, 55.55555820465088, 66.18357300758362, 66.66666865348816, 70.53139805793762, 67.14975833892822, 66.66666865348816, 73.42995405197144, 75.36231875419617, 69.08212304115295, 69.08212304115295, 74.8792290687561, 79.71014380455017, 71.49758338928223, 76.32850408554077, 71.98067903518677, 58.454108238220215, 76.32850408554077, 66.66666865348816, 59.90338325500488, 24.15459007024765, 26.570048928260803, 24.637681245803833], [44.92753744125366, 55.55555820465088, 57.48792290687561, 62.80193328857422, 57.00483322143555, 72.46376872062683, 68.59903335571289, 70.53139805793762, 74.8792290687561, 70.53139805793762, 60.86956262588501, 71.98067903518677, 71.49758338928223, 71.98067903518677, 66.66666865348816, 67.63284802436829, 75.84540843963623, 73.9130437374115, 74.39613342285156, 67.63284802436829, 56.521737575531006, 69.5652186870575, 34.299516677856445, 20.28985470533371, 34.78260934352875], [46.859902143478394, 53.140097856521606, 61.835747957229614, 58.93719792366028, 63.76811861991882, 71.98067903518677, 74.8792290687561, 75.36231875419617, 77.77777910232544, 71.98067903518677, 69.08212304115295, 64.25120830535889, 64.25120830535889, 71.98067903518677, 68.11594367027283, 74.39613342285156, 82.6086938381195, 76.32850408554077, 76.32850408554077, 67.14975833892822, 67.14975833892822, 65.21739363670349, 36.71497702598572, 29.95169162750244, 32.367148995399475], [46.859902143478394, 51.2077271938324, 58.93719792366028, 63.76811861991882, 67.63284802436829, 65.21739363670349, 69.5652186870575, 76.32850408554077, 57.48792290687561, 76.32850408554077, 79.71014380455017, 76.32850408554077, 71.98067903518677, 77.77777910232544, 85.02415418624878, 75.84540843963623, 77.77777910232544, 73.42995405197144, 68.11594367027283, 72.46376872062683, 71.98067903518677, 50.24154782295227, 36.71497702598572, 32.85024166107178, 31.88405930995941], [50.24154782295227, 52.657002210617065, 59.90338325500488, 53.140097856521606, 58.454108238220215, 69.08212304115295, 70.53139805793762, 67.63284802436829, 66.66666865348816, 69.5652186870575, 58.454108238220215, 77.2946834564209, 68.11594367027283, 71.49758338928223, 79.22705411911011, 75.84540843963623, 77.2946834564209, 56.03864789009094, 72.9468584060669, 47.826087474823, 60.386472940444946, 62.80193328857422, 28.985506296157837, 17.874395847320557, 30.434781312942505]]",14
7,AESDD,WAV2VEC2_LARGE_XLSR300M,83.09178948402405,"[47.72946894 49.75845397 56.42512083 59.710145   63.86473298 66.66666746
 73.5265696  72.17391253 71.01449251 73.62318754 73.91304493 75.84540844
 72.56038666 71.30434752 72.65700459 73.2367146  77.7777791  75.36231875
 67.43961215 68.01932335 63.3816433  66.28019333 46.95652127 37.77777731
 41.15942001]","[2.23269945 1.46528985 5.27787393 3.34137496 3.89361208 3.14566586
 3.4889798  2.04045509 2.00352081 3.00294995 4.60333571 1.833204
 4.42127999 6.21369516 2.77683218 3.24211846 4.24461458 2.7835488
 9.28039318 8.94646391 3.35253199 3.10684713 3.48897871 3.25361441
 1.98949348]","[[49.275362491607666, 48.792269825935364, 61.835747957229614, 57.48792290687561, 60.386472940444946, 61.35265827178955, 69.08212304115295, 74.39613342285156, 71.98067903518677, 75.36231875419617, 77.77777910232544, 72.9468584060669, 72.9468584060669, 72.46376872062683, 71.49758338928223, 72.46376872062683, 76.81159377098083, 76.32850408554077, 74.39613342285156, 66.66666865348816, 60.386472940444946, 60.386472940444946, 52.657002210617065, 43.478259444236755, 43.478259444236755], [50.724637508392334, 51.69082283973694, 58.93719792366028, 63.28502297401428, 66.18357300758362, 71.01449370384216, 77.2946834564209, 74.39613342285156, 74.39613342285156, 78.74395847320557, 80.19323945045471, 77.2946834564209, 80.67632913589478, 82.12560415267944, 71.98067903518677, 75.84540843963623, 82.12560415267944, 76.81159377098083, 61.35265827178955, 72.46376872062683, 64.25120830535889, 68.59903335571289, 45.89371979236603, 37.19806671142578, 41.545894742012024], [48.3091801404953, 51.2077271938324, 57.00483322143555, 64.25120830535889, 59.42028760910034, 66.66666865348816, 69.5652186870575, 69.08212304115295, 68.59903335571289, 71.49758338928223, 72.46376872062683, 77.2946834564209, 68.59903335571289, 65.70048332214355, 68.59903335571289, 68.59903335571289, 74.8792290687561, 71.49758338928223, 70.53139805793762, 73.9130437374115, 61.35265827178955, 66.66666865348816, 48.792269825935364, 37.68115937709808, 42.51207709312439], [45.410627126693726, 47.826087474823, 46.37681245803833, 57.00483322143555, 63.28502297401428, 66.18357300758362, 75.36231875419617, 71.98067903518677, 70.04830837249756, 71.01449370384216, 67.14975833892822, 74.39613342285156, 68.59903335571289, 64.73429799079895, 74.39613342285156, 71.49758338928223, 71.98067903518677, 72.9468584060669, 52.657002210617065, 51.2077271938324, 69.5652186870575, 69.08212304115295, 44.92753744125366, 37.19806671142578, 40.57970941066742], [44.92753744125366, 49.275362491607666, 57.971012592315674, 56.521737575531006, 70.04830837249756, 68.11594367027283, 76.32850408554077, 71.01449370384216, 70.04830837249756, 71.49758338928223, 71.98067903518677, 77.2946834564209, 71.98067903518677, 71.49758338928223, 76.81159377098083, 77.77777910232544, 83.09178948402405, 79.22705411911011, 78.2608687877655, 75.84540843963623, 61.35265827178955, 66.66666865348816, 42.51207709312439, 33.33333432674408, 37.68115937709808]]",16
8,CaFE,HUBERT_ASR_LARGE,82.47863054275513,"[41.7094022  52.47863412 58.63247991 61.79487228 64.10256386 66.66666746
 68.97435904 74.87179399 76.83760643 75.64102411 79.74358916 79.572649
 76.83760643 78.88888955 79.65812087 80.25640965 75.64102411 76.32478595
 76.49572611 70.51282048 72.13675261 68.63247871 61.88034177 53.41880441
 40.68376124]","[2.42650747 2.11786459 1.97508028 2.39621374 1.14670146 4.28204166
 3.27251205 2.45345232 1.78056946 2.22878701 2.79056765 2.21893161
 0.82866207 1.13388866 2.25485558 1.36216826 3.19799758 1.28489642
 1.89196088 5.57196808 3.83569196 3.63222666 4.37820442 3.23207974
 5.9792415 ]","[[39.743590354919434, 50.854700803756714, 58.11966061592102, 62.82051205635071, 61.965811252593994, 60.68376302719116, 63.67521286010742, 74.7863233089447, 76.06837749481201, 78.20512652397156, 80.34188151359558, 77.35042572021484, 77.35042572021484, 76.92307829856873, 80.34188151359558, 79.91452813148499, 79.91452813148499, 78.20512652397156, 76.92307829856873, 77.35042572021484, 75.64102411270142, 70.51281929016113, 67.94871687889099, 51.28205418586731, 41.88034236431122], [39.31623995304108, 53.84615659713745, 57.26495981216431, 61.538463830947876, 64.52991366386414, 65.38461446762085, 67.09401607513428, 75.64102411270142, 73.93162250518799, 73.93162250518799, 82.47863054275513, 79.48718070983887, 76.92307829856873, 78.63247990608215, 81.1965823173523, 81.62392973899841, 73.93162250518799, 75.64102411270142, 74.7863233089447, 72.64957427978516, 68.37607026100159, 63.247865438461304, 62.39316463470459, 49.145299196243286, 46.581196784973145], [41.45299196243286, 55.982905626297, 60.68376302719116, 65.81196784973145, 64.52991366386414, 73.93162250518799, 69.65811848640442, 72.22222089767456, 78.20512652397156, 72.22222089767456, 80.7692289352417, 82.47863054275513, 77.35042572021484, 79.05982732772827, 81.1965823173523, 81.1965823173523, 79.05982732772827, 76.49572491645813, 74.7863233089447, 61.11111044883728, 66.66666865348816, 65.38461446762085, 61.965811252593994, 52.99145579338074, 46.581196784973145], [46.15384638309479, 51.28205418586731, 61.11111044883728, 59.40170884132385, 65.38461446762085, 65.81196784973145, 71.79487347602844, 79.05982732772827, 79.05982732772827, 77.35042572021484, 74.35897588729858, 76.92307829856873, 75.2136766910553, 79.48718070983887, 75.2136766910553, 80.7692289352417, 72.22222089767456, 74.35897588729858, 79.91452813148499, 73.50427508354187, 75.64102411270142, 71.79487347602844, 62.82051205635071, 58.54700803756714, 30.769231915473938], [41.88034236431122, 50.427353382110596, 55.982905626297, 59.40170884132385, 64.10256624221802, 67.52136945724487, 72.64957427978516, 72.64957427978516, 76.92307829856873, 76.49572491645813, 80.7692289352417, 81.62392973899841, 77.35042572021484, 80.34188151359558, 80.34188151359558, 77.77777910232544, 73.07692170143127, 76.92307829856873, 76.06837749481201, 67.94871687889099, 74.35897588729858, 72.22222089767456, 54.27350401878357, 55.12820482254028, 37.60683834552765]]",10
9,CaFE,HUBERT_BASE,73.07692170143127,"[43.50427389 48.20512891 65.12820601 65.2136755  68.20512891 69.48717952
 62.22222328 71.19658113 67.52136946 64.78632569 67.52136827 67.09401727
 61.36752248]","[2.54120818 9.58790025 2.45642863 1.5432036  2.48598883 1.39397497
 1.72217517 1.92260096 1.0811205  4.65478549 2.76954825 2.68925311
 2.84244127]","[[48.29059839248657, 62.39316463470459, 62.39316463470459, 64.52991366386414, 69.65811848640442, 68.8034176826477, 64.95726704597473, 71.36752009391785, 68.37607026100159, 66.66666865348816, 63.67521286010742, 63.67521286010742, 61.538463830947876], [43.589743971824646, 41.45299196243286, 67.94871687889099, 62.82051205635071, 70.94017267227173, 67.52136945724487, 60.256409645080566, 67.52136945724487, 66.66666865348816, 70.08547186851501, 66.23931527137756, 67.09401607513428, 63.67521286010742], [41.88034236431122, 42.307692766189575, 61.965811252593994, 67.52136945724487, 64.10256624221802, 71.79487347602844, 60.68376302719116, 73.07692170143127, 65.81196784973145, 56.41025900840759, 71.79487347602844, 71.36752009391785, 60.68376302719116], [41.025641560554504, 56.83760643005371, 66.66666865348816, 65.81196784973145, 66.66666865348816, 69.65811848640442, 63.247865438461304, 72.22222089767456, 68.37607026100159, 63.67521286010742, 66.66666865348816, 68.37607026100159, 56.41025900840759], [42.73504316806793, 38.034188747406006, 66.66666865348816, 65.38461446762085, 69.65811848640442, 69.65811848640442, 61.965811252593994, 71.79487347602844, 68.37607026100159, 67.09401607513428, 69.2307710647583, 64.95726704597473, 64.52991366386414]]",7
